disease	hpo
OMIM_203400	HP_0002013,HP_0002153,HP_0000848,HP_0001508,HP_0001944,HP_0002902,HP_0000007,HP_0001954,HP_0008872,HP_0004319,HP_0002615,HP_0001510,HP_0000127,HP_0003623
OMIM_619167	HP_0001332,HP_0001250,HP_0025169,HP_0001252,HP_0001251,HP_0012708,HP_0002240,HP_0003593,HP_0011951,HP_0002919,HP_0011461,HP_0003648,HP_0008314,HP_0003128,HP_0001644,HP_0002376,HP_0011968,HP_0001263,HP_0005484,HP_0030682,HP_0005180,HP_0012043,HP_0000007,HP_0001712,HP_0000505,HP_0000543,HP_0003811,HP_0001653,HP_0001336,HP_0001655
OMIM_301040	HP_0000286,HP_0002069,HP_0004840,HP_0001250,HP_0010808,HP_0003196,HP_0001252,HP_0010806,HP_0002020,HP_0011463,HP_0012471,HP_0002937,HP_0000316,HP_0009466,HP_0008897,HP_0001566,HP_0000158,HP_0002019,HP_0000358,HP_0001249,HP_0002751,HP_0000054,HP_0000252,HP_0002673,HP_0002033,HP_0001263,HP_0011800,HP_0001182,HP_0000407,HP_0001537,HP_0001257,HP_0000047,HP_0001612,HP_0000369,HP_0000049,HP_0000126,HP_0008947,HP_0000463,HP_0001629,HP_0011682,HP_0008551,HP_0000733,HP_0030084,HP_0001423,HP_0000179,HP_0000699,HP_0011907,HP_0002059,HP_0001762,HP_0002650,HP_0011903,HP_0000272,HP_0005280,HP_0002808,HP_0001510,HP_0000303,HP_0000028,HP_0000104,HP_0002688
OMIM_616239	HP_0010628,HP_0003236,HP_0001256,HP_0000365,HP_0003198,HP_0001250,HP_0001272,HP_0001252,HP_0001274,HP_0003593,HP_0001290,HP_0002180,HP_0000639,HP_0100704,HP_0003429,HP_0001324,HP_0003701,HP_0001347,HP_0003202,HP_0001265,HP_0000252,HP_0002133,HP_0002376,HP_0002079,HP_0011968,HP_0001260,HP_0000097,HP_0002151,HP_0001263,HP_0001284,HP_0002171,HP_0002490,HP_0000508,HP_0200114,HP_0000007,HP_0002529,HP_0000648,HP_0001257
OMIM_300475	HP_0000252,HP_0002059,HP_0000486,HP_0001332,HP_0001272,HP_0001250,HP_0001263,HP_0006808,HP_0010864,HP_0001508,HP_0000407,HP_0001419,HP_0001999,HP_0007256,HP_0000648,HP_0003429,HP_0001249,HP_0002445
OMIM_238750	HP_0001254,HP_0002024,HP_0003168,HP_0003297,HP_0001987,HP_0002161,HP_0000007,HP_0001510,HP_0001249,HP_0001259
OMIM_618063	HP_0001696,HP_0001651,HP_0002110,HP_0012384,HP_0000789,HP_0012735,HP_0000007,HP_0000405,HP_0000389,HP_0011109,HP_0002643,HP_0012259
OMIM_106190	HP_0001595,HP_0002046,HP_0001507,HP_0000007,HP_0007459
OMIM_193300	HP_0002894,HP_0031207,HP_0030424,HP_0002321,HP_0005584,HP_0005562,HP_0000360,HP_0000407,HP_0011462,HP_0006880,HP_0000822,HP_0009711,HP_0001737,HP_0001901,HP_0009713,HP_0002668,HP_0009715,HP_0000006,HP_0005954,HP_0002666
OMIM_215500	HP_0000580,HP_0030491,HP_0000006,HP_0000533
