disease	name	hpo
OMIM_203400	Corticosterone methyloxidase type I deficiency	HP_0002013,HP_0002153,HP_0000848,HP_0001508,HP_0001944,HP_0002902,HP_0000007,HP_0001954,HP_0008872,HP_0004319,HP_0002615,HP_0001510,HP_0000127,HP_0003623
OMIM_619167	Mitochondrial complex II deficiency, nuclear type 3	HP_0001332,HP_0001250,HP_0025169,HP_0001252,HP_0001251,HP_0012708,HP_0002240,HP_0003593,HP_0011951,HP_0002919,HP_0011461,HP_0003648,HP_0008314,HP_0003128,HP_0001644,HP_0002376,HP_0011968,HP_0001263,HP_0005484,HP_0030682,HP_0005180,HP_0012043,HP_0000007,HP_0001712,HP_0000505,HP_0000543,HP_0003811,HP_0001653,HP_0001336,HP_0001655
OMIM_301040	Alpha-Thalassemia/mental retardation syndrome, X-linked	HP_0000286,HP_0002069,HP_0004840,HP_0001250,HP_0010808,HP_0003196,HP_0001252,HP_0010806,HP_0002020,HP_0011463,HP_0012471,HP_0002937,HP_0000316,HP_0009466,HP_0008897,HP_0001566,HP_0000158,HP_0002019,HP_0000358,HP_0001249,HP_0002751,HP_0000054,HP_0000252,HP_0002673,HP_0002033,HP_0001263,HP_0011800,HP_0001182,HP_0000407,HP_0001537,HP_0001257,HP_0000047,HP_0001612,HP_0000369,HP_0000049,HP_0000126,HP_0008947,HP_0000463,HP_0001629,HP_0011682,HP_0008551,HP_0000733,HP_0030084,HP_0001423,HP_0000179,HP_0000699,HP_0011907,HP_0002059,HP_0001762,HP_0002650,HP_0011903,HP_0000272,HP_0005280,HP_0002808,HP_0001510,HP_0000303,HP_0000028,HP_0000104,HP_0002688
OMIM_616239	Combined oxidative phosphorylation deficiency 24	HP_0010628,HP_0003236,HP_0001256,HP_0000365,HP_0003198,HP_0001250,HP_0001272,HP_0001252,HP_0001274,HP_0003593,HP_0001290,HP_0002180,HP_0000639,HP_0100704,HP_0003429,HP_0001324,HP_0003701,HP_0001347,HP_0003202,HP_0001265,HP_0000252,HP_0002133,HP_0002376,HP_0002079,HP_0011968,HP_0001260,HP_0000097,HP_0002151,HP_0001263,HP_0001284,HP_0002171,HP_0002490,HP_0000508,HP_0200114,HP_0000007,HP_0002529,HP_0000648,HP_0001257
OMIM_300475	Deafness, dystonia, and cerebral hypomyelination	HP_0000252,HP_0002059,HP_0000486,HP_0001332,HP_0001272,HP_0001250,HP_0001263,HP_0006808,HP_0010864,HP_0001508,HP_0000407,HP_0001419,HP_0001999,HP_0007256,HP_0000648,HP_0003429,HP_0001249,HP_0002445
OMIM_238750	Hyperlysinuria with hyperammonemia	HP_0001254,HP_0002024,HP_0003168,HP_0003297,HP_0001987,HP_0002161,HP_0000007,HP_0001510,HP_0001249,HP_0001259
OMIM_618063	Ciliary dyskinesia, primary, 38	HP_0001696,HP_0001651,HP_0002110,HP_0012384,HP_0000789,HP_0012735,HP_0000007,HP_0000405,HP_0000389,HP_0011109,HP_0002643,HP_0012259
OMIM_106190	Anhidrosis, isolated, with normal sweat glands	HP_0001595,HP_0002046,HP_0001507,HP_0000007,HP_0007459
OMIM_193300	von Hippel-Lindau syndrome	HP_0002894,HP_0031207,HP_0030424,HP_0002321,HP_0005584,HP_0005562,HP_0000360,HP_0000407,HP_0011462,HP_0006880,HP_0000822,HP_0009711,HP_0001737,HP_0001901,HP_0009713,HP_0002668,HP_0009715,HP_0000006,HP_0005954,HP_0002666
OMIM_215500	Choroidal dystrophy, central areolar 1	HP_0000580,HP_0030491,HP_0000006,HP_0000533
OMIM_614972	Cholestasis, intrahepatic, of pregnancy 3	HP_0200150,HP_0200148,HP_0000007,HP_0000989,HP_0001406,HP_0025116,HP_0000006,HP_0000952,HP_0001622
OMIM_615006	Epileptic encephalopathy, early infantile, 15	HP_0001298,HP_0002476,HP_0002521,HP_0002540,HP_0002187,HP_0001252,HP_0001263,HP_0001290,HP_0011097,HP_0000737,HP_0000817,HP_0000007,HP_0200134
OMIM_617605	Deafness, autosomal dominant 71	HP_0003676,HP_0001751,HP_0000407,HP_0000006
OMIM_609254	Senior-Loken syndrome 5	HP_0003774,HP_0000007,HP_0000090,HP_0000510
OMIM_613313	Hemochromatosis, type 2B	HP_0003452,HP_0001395,HP_0001394,HP_0002240,HP_0003281,HP_0012463,HP_0000869,HP_0001903,HP_0011462,HP_0000007,HP_0000953,HP_0001635,HP_0001638,HP_0000135,HP_0002910,HP_0001744
OMIM_607681	Febrile seizures, familial, 8	HP_0002069,HP_0010849,HP_0002373,HP_0002121,HP_0011463,HP_0003829,HP_0002392,HP_0000006
OMIM_175510	Gastrointestinal stromal tumor/GIST-plus syndrome, somatic or familial	HP_0002576,HP_0200008,HP_0100723,HP_0000006
OMIM_618115	Spermatogenic failure 32	HP_0000789,HP_0000006,HP_0000027
OMIM_614963	Leptin receptor deficiency	HP_0004322,HP_0002591,HP_0003593,HP_0012286,HP_0000819,HP_0000815,HP_0000718,HP_0000712,HP_0000007,HP_0002958,HP_0008245,HP_0100738,HP_0000824,HP_0000823,HP_0002788,HP_0001513,HP_0001249
OMIM_614954	Congenital heart defects, multiple types, 3	HP_0011709,HP_0005301,HP_0005110,HP_0001636,HP_0011712,HP_0001627,HP_0001649,HP_0001631,HP_0000006,HP_0001678
OMIM_605039	Bohring-Opitz syndrome	HP_0000286,HP_0000486,HP_0000243,HP_0004322,HP_0001250,HP_0001052,HP_0001371,HP_0002187,HP_0000160,HP_0001373,HP_0001252,HP_0002020,HP_0006191,HP_0011220,HP_0001845,HP_0000316,HP_0006276,HP_0000998,HP_0000278,HP_0001169,HP_0000358,HP_0001007,HP_0003049,HP_0000252,HP_0005026,HP_0002079,HP_0011968,HP_0001263,HP_0000294,HP_0011401,HP_0001182,HP_0003083,HP_0012385,HP_0100337,HP_0100334,HP_0000329,HP_0000960,HP_0000520,HP_0000369,HP_0000204,HP_0000006,HP_0000341,HP_0000187,HP_0000582,HP_0003577,HP_0000189,HP_0002365,HP_0000463,HP_0001274,HP_0002282,HP_0001629,HP_0001508,HP_0002719,HP_0001305,HP_0001869,HP_0006610,HP_0002558,HP_0000973,HP_0000076,HP_0001561,HP_0000431,HP_0000276,HP_0005487,HP_0005280,HP_0100874,HP_0001159,HP_0001511,HP_0000587,HP_0001631,HP_0000545,HP_0000347,HP_0002566,HP_0002643,HP_0001831
OMIM_601419	Myopathy, myofibrillar, 1	HP_0002014,HP_0010628,HP_0001662,HP_0001283,HP_0003694,HP_0003581,HP_0002460,HP_0001709,HP_0001639,HP_0000007,HP_0001723,HP_0002747,HP_0002019,HP_0000006,HP_0001644,HP_0003458,HP_0002600,HP_0000467
OMIM_605280	Spastic paraplegia 13, autosomal dominant	HP_0003676,HP_0002166,HP_0000012,HP_0003487,HP_0007340,HP_0000020,HP_0002064,HP_0002839,HP_0002061,HP_0001258,HP_0000006,HP_0001347
OMIM_612335	Spastic paraplegia 38, autosomal dominant	HP_0002166,HP_0001761,HP_0003487,HP_0003693,HP_0002064,HP_0002460,HP_0002061,HP_0003392,HP_0003393,HP_0007340,HP_0003426,HP_0001258,HP_0003427,HP_0000006,HP_0001347
OMIM_617816	Glycosylphosphatidylinositol biosynthesis defect 16	HP_0002465,HP_0031936,HP_0001250,HP_0001263,HP_0000007,HP_0001249
OMIM_610910	Pulmonary alveolar proteinosis, acquired	HP_0003587,HP_0025044,HP_0006517,HP_0030049,HP_0020050,HP_0002094,HP_0012735,HP_0012418,HP_0002090,HP_0031996,HP_0002091,HP_0045051,HP_0001217,HP_0100749,HP_0000961,HP_0003745,HP_0002205,HP_0002105
OMIM_242050	Hypouricemia, hypercalcinuria, and decreased bone density	HP_0000924,HP_0000007,HP_0002150,HP_0003537
OMIM_204730	Amino aciduria with mental deficiency, dwarfism, muscular dystrophy,osteoporosis, and acidosis	HP_0003510,HP_0000939,HP_0003355,HP_0003560,HP_0000007,HP_0001249,HP_0001941
OMIM_617874	Polycystic liver disease 3 with or without kidney cysts	HP_0000107,HP_0001407,HP_0000006
OMIM_601596	Charcot-Marie-Tooth disease, type 4C	HP_0010628,HP_0003431,HP_0000365,HP_0004466,HP_0003693,HP_0002460,HP_0003593,HP_0001270,HP_0001291,HP_0012473,HP_0000639,HP_0011463,HP_0040078,HP_0002936,HP_0001308,HP_0003701,HP_0007107,HP_0001765,HP_0003400,HP_0002355,HP_0003621,HP_0003387,HP_0002650,HP_0001762,HP_0001761,HP_0003484,HP_0034347,HP_0007695,HP_0000007,HP_0000764
OMIM_615994	Bardet-Biedl syndrome 17	HP_0003774,HP_0007737,HP_0003577,HP_0001696,HP_0001156,HP_0001651,HP_0010442,HP_0100543,HP_0000458,HP_0007401,HP_0006159,HP_0000510,HP_0000135,HP_0001249,HP_0000054,HP_0001162,HP_0001263,HP_0002370,HP_0100260,HP_0001959,HP_0000107,HP_0000007,HP_0000546,HP_0004409,HP_0000505,HP_0000548,HP_0001830,HP_0000103,HP_0001513,HP_0004689
OMIM_145800	Hypertrophia musculorum vera	HP_0008981,HP_0000006
OMIM_619913	Developmental and epileptic encephalopathy 103	HP_0002421,HP_0002069,HP_0002521,HP_0002188,HP_0002384,HP_0002121,HP_0001252,HP_0003593,HP_0001251,HP_0032794,HP_0002381,HP_0010864,HP_0031491,HP_0100702,HP_0000752,HP_0000256,HP_0001249,HP_0003623,HP_0002179,HP_0002510,HP_0000211,HP_0001344,HP_0025097,HP_0011968,HP_0010819,HP_0010851,HP_0002392,HP_0011344,HP_0011097,HP_0032670,HP_0032792,HP_0000729,HP_0200134,HP_0002307,HP_0000006
OMIM_614432	Ventricular septal defect 3	HP_0003577,HP_0001629,HP_0001643,HP_0001631,HP_0000006,HP_0004415
OMIM_620070	Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties	HP_0000286,HP_0002069,HP_0004322,HP_0002187,HP_0001252,HP_0002020,HP_0032794,HP_0045075,HP_0011220,HP_0000637,HP_0001522,HP_0001763,HP_0002510,HP_0001344,HP_0002870,HP_0011968,HP_0000490,HP_0001263,HP_0011800,HP_0100021,HP_0001182,HP_0011003,HP_0034353,HP_0002509,HP_0001698,HP_0000006,HP_0000341,HP_0000582,HP_0003577,HP_0030674,HP_0002360,HP_0000020,HP_0002280,HP_0012444,HP_0009085,HP_0000337,HP_0002714,HP_0000218,HP_0000653,HP_0001320,HP_0000670,HP_0001561,HP_0000431,HP_0011625,HP_0001838,HP_0033044,HP_0000348,HP_0001558,HP_0001631,HP_0000347,HP_0004942
OMIM_235400	Hemolytic uremic syndrome, atypical, susceptibility to, 1	HP_0005356,HP_0001250,HP_0003077,HP_0005575,HP_0002381,HP_0100543,HP_0000979,HP_0001923,HP_0001945,HP_0001269,HP_0002014,HP_0005369,HP_0001981,HP_0005421,HP_0001919,HP_0001937,HP_0000822,HP_0000007,HP_0100519,HP_0001873,HP_0000006,HP_0003138,HP_0003259,HP_0005416,HP_0001259
OMIM_613255	Cardiomyopathy, familial hypertrophic, 15	HP_0031318,HP_0003596,HP_0031319,HP_0003584,HP_0034313,HP_0031992,HP_0002092,HP_0001639,HP_0001635,HP_0006685,HP_0000006,HP_0032092,HP_0002875
OMIM_273400	Tetramelic deficiencies, ectodermal dysplasia, deformed ears, andother abnormalities	HP_0000164,HP_0001792,HP_0000464,HP_0002353,HP_0003057,HP_0003355,HP_0011675,HP_0008070,HP_0100853,HP_0000968,HP_0000007,HP_0000579,HP_0002557,HP_0000135,HP_0000377,HP_0000204,HP_0001249
OMIM_618252	Mitochondrial complex I deficiency, nuclear type 32	HP_0001250,HP_0001508,HP_0002151,HP_0003593,HP_0002490,HP_0001290,HP_0000007,HP_0002093,HP_0001942
OMIM_618660	Hemolytic anemia due to glutathione reductase deficiency	HP_0000518,HP_0002904,HP_0000007,HP_0004814
OMIM_129490	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant	HP_0002213,HP_0002046,HP_0000691,HP_0045075,HP_0008070,HP_0000958,HP_0000968,HP_0001807,HP_0000668,HP_0000966,HP_0000653,HP_0000674,HP_0002217,HP_0000006
OMIM_619825	Aortic aneurysm, familial thoracic 12	HP_0003596,HP_0002650,HP_0004970,HP_0003584,HP_0001519,HP_0011462,HP_0002616,HP_0001647,HP_0000767,HP_0000316,HP_0002108,HP_0001659,HP_0000218,HP_0006510,HP_0004933,HP_0000006,HP_0001369
OMIM_612075	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	HP_0002344,HP_0003676,HP_0003577,HP_0003355,HP_0001250,HP_0002066,HP_0001252,HP_0001290,HP_0001508,HP_0001824,HP_0000114,HP_0001249,HP_0003623,HP_0003128,HP_0002014,HP_0008936,HP_0002133,HP_0002013,HP_0002098,HP_0011968,HP_0002490,HP_0000007,HP_0008347,HP_0004900,HP_0000544,HP_0004326
OMIM_611962	Hunter-Macdonald syndrome	HP_0000341,HP_0000582,HP_0006824,HP_0000023,HP_0004322,HP_0000581,HP_0012745,HP_0000239,HP_0001647,HP_0002858,HP_0000219,HP_0001643,HP_0002656,HP_0001840,HP_0000472,HP_0002650,HP_0002750,HP_0003088,HP_0000270,HP_0000272,HP_0004691,HP_0011800,HP_0012385,HP_0010584,HP_0000407,HP_0009473,HP_0000508,HP_0000822,HP_0001537,HP_0000348,HP_0000405,HP_0000768,HP_0001659,HP_0002967,HP_0004209,HP_0000047,HP_0000322,HP_0001653,HP_0000006,HP_0000248,HP_0000545,HP_0001634
OMIM_137763	Glaucoma - sleep apnea	HP_0010535
OMIM_600093	Spondyloepiphyseal dysplasia tarda with characteristic facies	HP_0000252,HP_0000431,HP_0001263,HP_0000007,HP_0005715,HP_0000455,HP_0000179,HP_0000322,HP_0000289,HP_0000215,HP_0002655
OMIM_618662	Diarrhea 11, malabsorptive, congenital	HP_0002014,HP_0011473,HP_0000007
OMIM_612389	Pontocerebellar hypoplasia, type 2B	HP_0002169,HP_0003577,HP_0000340,HP_0001332,HP_0002365,HP_0001272,HP_0001250,HP_0001252,HP_0032794,HP_0100704,HP_0000954,HP_0002119,HP_0001522,HP_0008936,HP_0001320,HP_0002179,HP_0000253,HP_0002059,HP_0002015,HP_0007308,HP_0000252,HP_0001561,HP_0003487,HP_0001321,HP_0002079,HP_0011968,HP_0002033,HP_0002072,HP_0003819,HP_0032792,HP_0002509,HP_0000007,HP_0000505,HP_0001257,HP_0009879
OMIM_604233	Generalized epilepsy with febrile seizures plus, type 1	HP_0002069,HP_0002373,HP_0002121,HP_0010819,HP_0003829,HP_0000006
OMIM_601319	Odontomicronychial dysplasia	HP_0008383,HP_0001816,HP_0000007,HP_0006337,HP_0001799
OMIM_607665	Tubulointerstitial nephritis with uveitis	HP_0000099,HP_0012121,HP_0012220,HP_0000153,HP_0012122,HP_0004729,HP_0000554,HP_0003745,HP_0012224,HP_0004713,HP_0003259
OMIM_180295	Rhabdomyosarcoma, embryonal, 2	HP_0030983,HP_0100528,HP_0025388,HP_0002667,HP_0006743,HP_0000853,HP_0005987
OMIM_603116	CDAGS syndrome	HP_0000143,HP_0003577,HP_0002023,HP_0004443,HP_0004442,HP_0004440,HP_0045075,HP_0000239,HP_0000656,HP_0200044,HP_0000653,HP_0000894,HP_0000773,HP_0000175,HP_0002697,HP_0000270,HP_0001263,HP_0000272,HP_0011800,HP_0002808,HP_0000407,HP_0000508,HP_0002209,HP_0000007,HP_0002007,HP_0000047,HP_0000248,HP_0025407
OMIM_614990	Usher syndrome, type IK	HP_0003577,HP_0001751,HP_0000007,HP_0001270,HP_0000510
OMIM_248190	Hypomagnesemia 5, renal, with or without ocular involvement	HP_0000121,HP_0000010,HP_0005567,HP_0000483,HP_0000486,HP_0012608,HP_0002150,HP_0012637,HP_0012622,HP_0000639,HP_0002917,HP_0000705,HP_0000007,HP_0000510,HP_0000545,HP_0000787,HP_0001116
OMIM_127550	Dyskeratosis congenita, autosomal dominant, 1	HP_0001596,HP_0001251,HP_0001394,HP_0008070,HP_0000939,HP_0001903,HP_0001807,HP_0001328,HP_0001888,HP_0002639,HP_0001803,HP_0007588,HP_0005528,HP_0002216,HP_0006515,HP_0000670,HP_0004334,HP_0001321,HP_0001882,HP_0006739,HP_0002094,HP_0006480,HP_0001915,HP_0002605,HP_0005518,HP_0008404,HP_0002745,HP_0002206,HP_0001873,HP_0000006,HP_0002863
OMIM_614262	Arthrogryposis, perthes disease, and upward gaze palsy	HP_0025331,HP_0005743,HP_0003577,HP_0001047,HP_0002021,HP_0000293,HP_0002099,HP_0012385,HP_0001629,HP_0001845,HP_0000007,HP_0002804,HP_0001631,HP_0001642
OMIM_615274	Cataract 15, multiple types	HP_0100018,HP_0000518,HP_0100019,HP_0000519,HP_0007971,HP_0000006
OMIM_607850	Hand osteoarthritis	HP_0001387,HP_0002829,HP_0006233,HP_0002758,HP_0006226,HP_0000006
OMIM_141200	Hematuria, benign familial	HP_0000790,HP_0003680,HP_0012577,HP_0000006
OMIM_108450	Asymmetric short stature syndrome	HP_0000540,HP_0008929,HP_0002949,HP_0000678,HP_0000444,HP_0000565,HP_0002007,HP_0004626,HP_0000347,HP_0200053,HP_0000006
OMIM_603472	Neuronal intranuclear inclusion disease	HP_0001265,HP_0003431,HP_0001288,HP_0001250,HP_0001260,HP_0002352,HP_0003474,HP_0002572,HP_0002063,HP_0000020,HP_0001251,HP_0012229,HP_0000708,HP_0100543,HP_0007185,HP_0000726,HP_0000616,HP_0002119,HP_0001324,HP_0003448,HP_0001279,HP_0000006,HP_0001337,HP_0003403
OMIM_268700	SACCHAROPINURIA	HP_0001264,HP_0002353,HP_0004322,HP_0003297,HP_0002927,HP_0032397,HP_0000007,HP_0034026,HP_0034028,HP_0001249
