#DatabaseID	DiseaseName
OMIM_203400	Corticosterone methyloxidase type I deficiency
OMIM_619167	Mitochondrial complex II deficiency, nuclear type 3
OMIM_301040	Alpha-Thalassemia/mental retardation syndrome, X-linked
OMIM_616239	Combined oxidative phosphorylation deficiency 24
OMIM_300475	Deafness, dystonia, and cerebral hypomyelination
OMIM_238750	Hyperlysinuria with hyperammonemia
OMIM_618063	Ciliary dyskinesia, primary, 38
OMIM_106190	Anhidrosis, isolated, with normal sweat glands
OMIM_193300	von Hippel-Lindau syndrome
OMIM_215500	Choroidal dystrophy, central areolar 1
OMIM_614972	Cholestasis, intrahepatic, of pregnancy 3
OMIM_615006	Epileptic encephalopathy, early infantile, 15
OMIM_617605	Deafness, autosomal dominant 71
OMIM_609254	Senior-Loken syndrome 5
OMIM_613313	Hemochromatosis, type 2B
OMIM_607681	Febrile seizures, familial, 8
OMIM_175510	Gastrointestinal stromal tumor/GIST-plus syndrome, somatic or familial
OMIM_618115	Spermatogenic failure 32
OMIM_614963	Leptin receptor deficiency
OMIM_614954	Congenital heart defects, multiple types, 3
OMIM_605039	Bohring-Opitz syndrome
OMIM_601419	Myopathy, myofibrillar, 1
OMIM_605280	Spastic paraplegia 13, autosomal dominant
OMIM_612335	Spastic paraplegia 38, autosomal dominant
OMIM_617816	Glycosylphosphatidylinositol biosynthesis defect 16
OMIM_610910	Pulmonary alveolar proteinosis, acquired
OMIM_242050	Hypouricemia, hypercalcinuria, and decreased bone density
OMIM_204730	Amino aciduria with mental deficiency, dwarfism, muscular dystrophy,osteoporosis, and acidosis
OMIM_617874	Polycystic liver disease 3 with or without kidney cysts
OMIM_601596	Charcot-Marie-Tooth disease, type 4C
OMIM_615994	Bardet-Biedl syndrome 17
OMIM_145800	Hypertrophia musculorum vera
OMIM_619913	Developmental and epileptic encephalopathy 103
OMIM_614432	Ventricular septal defect 3
OMIM_620070	Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties
OMIM_235400	Hemolytic uremic syndrome, atypical, susceptibility to, 1
OMIM_613255	Cardiomyopathy, familial hypertrophic, 15
OMIM_273400	Tetramelic deficiencies, ectodermal dysplasia, deformed ears, andother abnormalities
OMIM_618252	Mitochondrial complex I deficiency, nuclear type 32
OMIM_618660	Hemolytic anemia due to glutathione reductase deficiency
OMIM_129490	Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant
OMIM_619825	Aortic aneurysm, familial thoracic 12
OMIM_612075	Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)
OMIM_611962	Hunter-Macdonald syndrome
OMIM_137763	Glaucoma - sleep apnea
OMIM_600093	Spondyloepiphyseal dysplasia tarda with characteristic facies
OMIM_618662	Diarrhea 11, malabsorptive, congenital
OMIM_612389	Pontocerebellar hypoplasia, type 2B
OMIM_604233	Generalized epilepsy with febrile seizures plus, type 1
OMIM_601319	Odontomicronychial dysplasia
OMIM_607665	Tubulointerstitial nephritis with uveitis
OMIM_180295	Rhabdomyosarcoma, embryonal, 2
OMIM_603116	CDAGS syndrome
OMIM_614990	Usher syndrome, type IK
OMIM_248190	Hypomagnesemia 5, renal, with or without ocular involvement
